FFFFFFFF	VMM
002B0010	_VCOMM_SetCommEventMask
002B0011	_VCOMM_GetCommEventMask
002B0012	_VCOMM_WriteComm
002B0013	_VCOMM_ReadComm
002B0014	_VCOMM_EnableCommNotification
002B0015	_VCOMM_GetLastError
002B0016	_VCOMM_Steal_Port
002B0017	_VCOMM_SetReadCallBack
002B0018	_VCOMM_SetWriteCallBack
002B0019	_VCOMM_Add_Port
002B001A	_VCOMM_GetSetCommTimeouts
002B001B	_VCOMM_SetWriteRequest
002B001C	_VCOMM_SetReadRequest
002B001D	_VCOMM_Dequeue_Request
002B001E	_VCOMM_Enumerate_DevNodes
002B001F	VCOMM_Map_Win32DCB_To_Ring0
002B0020	VCOMM_Map_Ring0DCB_To_Win32
002B0021	_VCOMM_Get_Contention_Handler
002B0022	_VCOMM_Map_Name_To_Resource

FFFFFFFF	CONFIGMG
00330000	_CONFIGMG_Get_Version
00330001	_CONFIGMG_Initialize
00330002	_CONFIGMG_Locate_DevNode
00330003	_CONFIGMG_Get_Parent
00330004	_CONFIGMG_Get_Child
00330005	_CONFIGMG_Get_Sibling
00330006	_CONFIGMG_Get_Device_ID_Size
00330007	_CONFIGMG_Get_Device_ID
00330008	_CONFIGMG_Get_Depth
00330009	_CONFIGMG_Get_Private_DWord
0033000A	_CONFIGMG_Set_Private_DWord
0033000B	_CONFIGMG_Create_DevNode
0033000C	_CONFIGMG_Query_Remove_SubTree
0033000D	_CONFIGMG_Remove_SubTree
0033000E	_CONFIGMG_Register_Device_Driver
0033000F	_CONFIGMG_Register_Enumerator
00330010	_CONFIGMG_Register_Arbitrator
00330011	_CONFIGMG_Deregister_Arbitrator
00330012	_CONFIGMG_Query_Arbitrator_Free_Size
00330013	_CONFIGMG_Query_Arbitrator_Free_Data
00330014	_CONFIGMG_Sort_NodeList
00330015	_CONFIGMG_Yield
00330016	_CONFIGMG_Lock
00330017	_CONFIGMG_Unlock
00330018	_CONFIGMG_Add_Empty_Log_Conf
00330019	_CONFIGMG_Free_Log_Conf
0033001A	_CONFIGMG_Get_First_Log_Conf
0033001B	_CONFIGMG_Get_Next_Log_Conf
0033001C	_CONFIGMG_Add_Res_Des
0033001D	_CONFIGMG_Modify_Res_Des
0033001E	_CONFIGMG_Free_Res_Des
0033001F	_CONFIGMG_Get_Next_Res_Des
00330020	_CONFIGMG_Get_Performance_Info
00330021	_CONFIGMG_Get_Res_Des_Data_Size
00330022	_CONFIGMG_Get_Res_Des_Data
00330023	_CONFIGMG_Process_Events_Now
00330024	_CONFIGMG_Create_Range_List
00330025	_CONFIGMG_Add_Range
00330026	_CONFIGMG_Delete_Range
00330027	_CONFIGMG_Test_Range_Available
00330028	_CONFIGMG_Dup_Range_List
00330029	_CONFIGMG_Free_Range_List
0033002A	_CONFIGMG_Invert_Range_List
0033002B	_CONFIGMG_Intersect_Range_List
0033002C	_CONFIGMG_First_Range
0033002D	_CONFIGMG_Next_Range
0033002E	_CONFIGMG_Dump_Range_List
0033002F	_CONFIGMG_Load_DLVxDs
00330030	_CONFIGMG_Get_DDBs
00330031	_CONFIGMG_Get_CRC_CheckSum
00330032	_CONFIGMG_Register_DevLoader
00330033	_CONFIGMG_Reenumerate_DevNode
00330034	_CONFIGMG_Setup_DevNode
00330035	_CONFIGMG_Reset_Children_Marks
00330036	_CONFIGMG_Get_DevNode_Status
00330037	_CONFIGMG_Remove_Unmarked_Children
00330038	_CONFIGMG_ISAPNP_To_CM
00330039	_CONFIGMG_CallBack_Device_Driver
0033003A	_CONFIGMG_CallBack_Enumerator
0033003B	_CONFIGMG_Get_Alloc_Log_Conf
0033003C	_CONFIGMG_Get_DevNode_Key_Size
0033003D	_CONFIGMG_Get_DevNode_Key
0033003E	_CONFIGMG_Read_Registry_Value
0033003F	_CONFIGMG_Write_Registry_Value
00330040	_CONFIGMG_Disable_DevNode
00330041	_CONFIGMG_Enable_DevNode
00330042	_CONFIGMG_Move_DevNode
00330043	_CONFIGMG_Set_Bus_Info
00330044	_CONFIGMG_Get_Bus_Info
00330045	_CONFIGMG_Set_HW_Prof
00330046	_CONFIGMG_Recompute_HW_Prof
00330047	_CONFIGMG_Query_Change_HW_Prof
00330048	_CONFIGMG_Get_Device_Driver_Private_DWord
00330049	_CONFIGMG_Set_Device_Driver_Private_DWord
0033004A	_CONFIGMG_Get_HW_Prof_Flags
0033004B	_CONFIGMG_Set_HW_Prof_Flags
0033004C	_CONFIGMG_Read_Registry_Log_Confs
0033004D	_CONFIGMG_Run_Detection
0033004E	_CONFIGMG_Call_At_Appy_Time
0033004F	_CONFIGMG_Fail_Change_HW_Prof
00330050	_CONFIGMG_Set_Private_Problem
00330051	_CONFIGMG_Debug_DevNode
00330052	_CONFIGMG_Get_Hardware_Profile_Info
00330053	_CONFIGMG_Register_Enumerator_Function
00330054	_CONFIGMG_Call_Enumerator_Function
00330055	_CONFIGMG_Add_ID
00330056	_CONFIGMG_Find_Range
00330057	_CONFIGMG_Get_Global_State
00330058	_CONFIGMG_Broadcast_Device_Change_Message
00330059	_CONFIGMG_Call_DevNode_Handler
0033005A	_CONFIGMG_Remove_Reinsert_All

FFFFFFFF	VFBACKUP
00360000	VFBACKUP_Get_Version
00360001	VFBACKUP_Lock_NEC
00360002	VFBACKUP_UnLock_NEC
00360003	VFBACKUP_Register_NEC
00360004	VFBACKUP_Register_VFD
00360005	VFBACKUP_Lock_All_Ports

FFFFFFFF	VMINI
00370000	VMINI_GetVersion
00370001	VMINI_Update
00370002	VMINI_Status
00370003	VMINI_DisplayError
00370004	VMINI_SetTimeStamp
00370005	VMINI_Siren
00370006	VMINI_RegisterAccess
00370007	VMINI_GetData
00370008	VMINI_ShutDownItem
00370009	VMINI_RegisterSK

FFFFFFFF	VCOND
00380000	VCOND_Get_Version
00380001	VCOND_Launch_ConApp_Inherited

FFFFFFFF	IFSMgr
00400000	IFSMgr_Get_Version
00400001	IFSMgr_RegisterMount
00400002	IFSMgr_RegisterNet
00400003	IFSMgr_RegisterMailSlot
00400004	IFSMgr_Attach
00400005	IFSMgr_Detach
00400006	IFSMgr_Get_NetTime
00400007	IFSMgr_Get_DOSTime
00400008	IFSMgr_SetupConnection
00400009	IFSMgr_DerefConnection
0040000A	IFSMgr_ServerDOSCall
0040000B	IFSMgr_CompleteAsync
0040000C	IFSMgr_RegisterHeap
0040000D	IFSMgr_GetHeap
0040000E	IFSMgr_RetHeap
0040000F	IFSMgr_CheckHeap
00400010	IFSMgr_CheckHeapItem
00400011	IFSMgr_FillHeapSpare
00400012	IFSMgr_Block
00400013	IFSMgr_Wakeup
00400014	IFSMgr_Yield
00400015	IFSMgr_SchedEvent
00400016	IFSMgr_QueueEvent
00400017	IFSMgr_KillEvent
00400018	IFSMgr_FreeIOReq
00400019	IFSMgr_MakeMailSlot
0040001A	IFSMgr_DeleteMailSlot
0040001B	IFSMgr_WriteMailSlot
0040001C	IFSMgr_PopUp
0040001D	IFSMgr_printf
0040001E	IFSMgr_AssertFailed
0040001F	IFSMgr_LogEntry
00400020	IFSMgr_DebugMenu
00400021	IFSMgr_DebugVars
00400022	IFSMgr_GetDebugString
00400023	IFSMgr_GetDebugHexNum
00400024	IFSMgr_NetFunction
00400025	IFSMgr_DoDelAllUses
00400026	IFSMgr_SetErrString
00400027	IFSMgr_GetErrString
00400028	IFSMgr_SetReqHook
00400029	IFSMgr_SetPathHook
0040002A	IFSMgr_UseAdd
0040002B	IFSMgr_UseDel
0040002C	IFSMgr_InitUseAdd
0040002D	IFSMgr_ChangeDir
0040002E	IFSMgr_DelAllUses
0040002F	IFSMgr_CDROM_Attach
00400030	IFSMgr_CDROM_Detach
00400031	IFSMgr_Win32DupHandle
00400032	IFSMgr_Ring0_FileIO
00400033	IFSMgr_Win32_Get_Ring0_Handle
00400034	IFSMgr_Get_Drive_Info
00400035	IFSMgr_Ring0GetDriveInfo
00400036	IFSMgr_BlockNoEvents
00400037	IFSMgr_NetToDosTime
00400038	IFSMgr_DosToNetTime
00400039	IFSMgr_DosToWin32Time
0040003A	IFSMgr_Win32ToDosTime
0040003B	IFSMgr_NetToWin32Time
0040003C	IFSMgr_Win32ToNetTime
0040003D	IFSMgr_MetaMatch
0040003E	IFSMgr_TransMatch
0040003F	IFSMgr_CallProvider
00400040	UniToBCS
00400041	UniToBCSPath
00400042	BCSToUni
00400043	UniToUpper
00400044	UniCharToOEM
00400045	CreateBasis
00400046	MatchBasisName
00400047	AppendBasisTail
00400048	FcbToShort
00400049	ShortToFcb
0040004A	IFSMgr_ParsePath
0040004B	Query_PhysLock
0040004C	_VolFlush
0040004D	NotifyVolumeArrival
0040004E	NotifyVolumeRemoval
0040004F	QueryVolumeRemoval
00400050	IFSMgr_FSDUnmountCFSD
00400051	IFSMgr_GetConversionTablePtrs
00400052	IFSMgr_CheckAccessConflict
00400053	IFSMgr_LockFile
00400054	IFSMgr_UnlockFile
00400055	IFSMgr_RemoveLocks
00400056	IFSMgr_CheckLocks
00400057	IFSMgr_CountLocks
00400058	IFSMgr_ReassignLockFileInst
00400059	IFSMgr_UnassignLockList
0040005A	IFSMgr_MountChildVolume
0040005B	IFSMgr_UnmountChildVolume
0040005C	IFSMgr_SwapDrives
0040005D	IFSMgr_FSDMapFHtoIOREQ
0040005E	IFSMgr_FSDParsePath
0040005F	IFSMgr_FSDAttachSFT
00400060	IFSMgr_GetTimeZoneBias
00400061	IFSMgr_PNPEvent
00400062	IFSMgr_RegisterCFSD
00400063	IFSMgr_Win32MapExtendedHandleToSFT
00400064	IFSMgr_DbgSetFileHandleLimit
00400065	IFSMgr_Win32MapSFTToExtendedHandle
00400066	IFSMgr_FSDGetCurrentDrive
00400067	IFSMgr_InstallFileSystemApiHook
00400068	IFSMgr_RemoveFileSystemApiHook
00400069	IFSMgr_RunScheduledEvents
0040006A	IFSMgr_CheckDelResource
0040006B	IFSMgr_Win32GetVMCurdir
0040006C	IFSMgr_SetupFailedConnection
0040006D	_GetMappedErr
0040006E	ShortToLossyFcb
0040006F	IFSMgr_GetLockState
00400070	BcsToBcs
00400071	IFSMgr_SetLoopback
00400072	IFSMgr_ClearLoopback
00400073	IFSMgr_ParseOneElement
00400074	BcsToBcsUpper

FFFFFFFF	PERF
00480000	PERF_Get_Version
00480001	PERF_Server_Register
00480002	PERF_Server_Deregister
00480003	PERF_Server_Add_Stat
00480004	PERF_Server_Remove_Stat

FFFFFFFF	VRedir
04810000	VRedir_Get_Version
04810001	VRedir_Register
04810002	VRedir_MakeMailSlot
04810003	VRedir_DeleteMailSlot
04810004	VRedir_ServerEnum

FFFFFFFF	VCache
048B0000	VCache_Get_Version
048B0001	VCache_Register
048B0002	VCache_GetSize
048B0003	VCache_CheckAvail
048B0004	VCache_FindBlock
048B0005	VCache_FreeBlock
048B0006	VCache_MakeMRU
048B0007	VCache_Hold
048B0008	VCache_Unhold
048B0009	VCache_Enum
048B000A	VCache_TestHandle
048B000B	VCache_VerifySums
048B000C	VCache_RecalcSums
048B000D	VCache_TestHold
048B000E	VCache_GetStats
048B000F	VCache_Deregister
048B0010	VCache_AdjustMinimum
048B0011	VCache_SwapBuffers
048B0012	VCache_RelinquishPage
048B0013	VCache_UseThisPage
048B0014	_VCache_CreateLookupCache
048B0015	_VCache_CloseLookupCache
048B0016	_VCache_DeleteLookupCache
048B0017	_VCache_Lookup
048B0018	_VCache_UpdateLookup

FFFFFFFF	PCCARD
097C0000	PCCARD_Get_Version
097C0001	PCCARD_Card_Services








